城市,City,绿地面积 (公顷)               Area of Green Land (hectare),建成区绿化覆盖率 (%)                              Green Covered Area as % of Completed Area (%)
北京市,Beijing,92683.0,48.96
天津市,Tianjin,43704.0,37.59
河北省,Hebei,,
  石家庄市,  Shijiazhuang,14721.0,42.85
  唐山市,  Tangshan,10880.0,42.33
  秦皇岛市,  Qinhuangdao,6311.0,41.2
  邯郸市,  Handan,8730.0,45.41
  邢台市,  Xingtai,6721.0,39.16
  保定市,  Baoding,8539.0,43.9
  张家口市,  Zhangjiakou,3772.0,40.49
  承德市,  Chengde,3860.0,42.98
  沧州市,  Cangzhou,3349.0,43.4
  廊坊市,  Langfang,5032.0,47.96
  衡水市,  Hengshui,4349.0,42.38
山西省,Shanxi,,
  太原市,  Taiyuan,14004.0,46.59
  大同市,  Datong,6078.0,42.44
  阳泉市,  Yangquan,2514.0,43.89
  长治市,  Changzhi,4409.0,46.59
  晋城市,  Jincheng,2088.0,44.64
  朔州市,  Shuozhou,3059.0,
  晋中市,  Jinzhong,7020.0,42.32
  运城市,  Yuncheng,2571.0,42.95
  忻州市,  Xinzhou,1445.0,43.41
  临汾市,  Linfen,2106.0,41.72
  吕梁市,  Lvliang,1316.0,41.13
内蒙古自治区,Inner Mongolia,,
  呼和浩特市,  Hohhot,15682.0,38.41
  包头市,  Baotou,8482.0,44.6
  乌海市,  Wuhai,2567.0,43.0
  赤峰市,  Chifeng,4292.0,40.12
  通辽市,  Tongliao,2387.0,42.24
  鄂尔多斯市,  Erdos,4654.0,43.08
  呼伦贝尔市,  Hulunbuir,1405.0,37.203
  巴彦淖尔市,  Bayannur,1663.0,36.52
  乌兰察布市,  Ulanqab,7216.0,39.02
辽宁省,Liaoning,,
  沈阳市,  Shenyang,24037.0,40.82
  大连市,  Dalian,19552.0,45.34
  鞍山市,  Anshan,7062.0,40.96
  抚顺市,  Fushun,5552.0,45.8
  本溪市,  Benxi,23246.0,49.94
  丹东市,  Dandong,2931.0,41.0
  锦州市,  Jinzhou,3958.0,39.23
  营口市,  Yingkou,6848.0,40.07
  阜新市,  Fuxin,3311.0,43.44
  辽阳市,  Liaoyang,4301.0,42.96
  盘锦市,  Panjin,4259.0,43.71
  铁岭市,  Tieling,2609.0,38.83
  朝阳市,  Chaoyang,1994.0,35.05
  葫芦岛市,  Huludao,,
吉林省,Jilin,,
  长春市,  Changchun,46057.0,41.81
  吉林市,  Jilin,,
  四平市,  Siping,2118.0,0.39
  辽源市,  Liaoyuan,1711.0,38.05
  通化市,  Tonghua,,
  白山市,  Baishan,,
  松原市,  Songyuan,2342.0,41.0
  白城市,  Baicheng,1539.0,37.71
黑龙江省,Heilongjiang,,
  哈尔滨市,  Harbin,15356.0,34.22
  齐齐哈尔市,  Qiqihar,4581.0,37.91
  鸡西市,  Jixi,2813.0,
  鹤岗市,  Hegang,3382.0,42.02
  双鸭山市,  Shuangyashan,2382.0,43.69
  大庆市,  Daqing,10467.0,44.26
  伊春市,  Yichun,6514.0,38.53
  佳木斯市,  Jiamusi,3732.0,42.5
  七台河市,  Qitaihe,2780.0,46.01
  牡丹江市,  Mudanjiang,2185.0,28.2
  黑河市,  Heihe,780.0,43.1
  绥化市,  Suihua,1190.0,28.22
上海市,Shanghai,164611.0,37.32
江苏省,Jiangsu,,
  南京市,  Nanjing,93512.0,44.69
  无锡市,  Wuxi,19889.0,43.43
  徐州市,  Xuzhou,17362.0,43.1
  常州市,  Changzhou,12574.0,43.3
  苏州市,  Suzhou,23600.0,43.1
  南通市,  Nantong,13045.0,43.3
  连云港市,  Lianyungang,23160.0,42.29
  淮安市,  Huai'an,9348.0,42.6
  盐城市,  Yancheng,8304.0,43.6
  扬州市,  Yangzhou,9115.0,44.67
  镇江市,  Zhenjiang,9423.0,43.38
  泰州市,  Taizhou,6448.0,42.57
  宿迁市,  Suqian,10311.0,44.99
浙江省,Zhejiang,,
  杭州市,  Hangzhou,49567.0,43.36
  宁波市,  Ningbo,16506.0,42.23
  温州市,  Wenzhou,9636.0,37.85
  嘉兴市,  Jiaxing,6150.0,40.92
  湖州市,  Huzhou,5522.0,46.33
  绍兴市,  Shaoxing,9799.0,44.12
  金华市,  Jinhua,4449.0,41.54
  衢州市,  Quzhou,3124.0,43.55
  舟山市,  Zhoushan,14356.0,44.15
  台州市,  Taizhou,6401.0,43.89
  丽水市,  Lishui,1746.0,42.82
安徽省,Anhui,,
  合肥市,  Hefei,20271.0,41.99
  芜湖市,  Wuhu,9870.0,41.01
  蚌埠市,  Bengbu,6038.0,43.06
  淮南市,  Huainan,5193.0,39.81
