城市,工业颗粒物排放量（吨）,工业二氧化硫排放量（吨）,工业氮氧化物排放量（吨）
北京市,4376.0,988.0,9751.0
天津市,10053.0,9756.0,29167.0
河北省,,,
  石家庄市,24707.0,10170.0,32276.0
  唐山市,61528.0,41856.0,125050.0
  秦皇岛市,8202.0,5604.0,16995.0
  邯郸市,21339.0,18147.0,46477.0
  邢台市,4157.0,3531.0,8592.0
  保定市,5626.0,7727.0,11836.0
  张家口市,5007.0,8749.0,17110.0
  承德市,23332.0,14279.0,22854.0
  沧州市,6141.0,6568.0,12249.0
  廊坊市,6855.0,4497.0,6021.0
  衡水市,1282.0,1661.0,1647.0
山西省,,,
  太原市,,,
  大同市,11598.0,12716.0,13336.0
  阳泉市,,,
  长治市,,,
  晋城市,11448.0,4676.0,11787.0
  朔州市,96198.0,6740.0,9203.0
  晋中市,24168.0,7277.0,15208.0
  运城市,,,
  忻州市,,17485.0,141693.0
  临汾市,31714.0,14119.0,14757.0
  吕梁市,,,
内蒙古自治区,,,
  呼和浩特市,,,
  包头市,33774.0,42127.0,46688.0
  乌海市,24445.0,8517.0,22591.0
  赤峰市,,,
  通辽市,,,
  鄂尔多斯市,,,
  呼伦贝尔市,130001.0,12011.0,
  巴彦淖尔市,33711.0,7780.0,11681.0
  乌兰察布市,,,
辽宁省,,,
  沈阳市,4178.0,9671.0,15885.0
  大连市,10891.0,10246.0,25416.0
  鞍山市,11039.0,23488.0,43488.0
  抚顺市,,6959.0,13173.0
  本溪市,14278.0,11922.0,26630.0
  丹东市,3836.0,4971.0,3874.0
  锦州市,7684.0,8536.0,8213.0
  营口市,,15239.0,30911.0
  阜新市,2901.0,6881.0,5827.0
  辽阳市,16271.0,3815.0,11815.0
  盘锦市,2217.0,3125.0,8996.0
  铁岭市,4156.0,6482.0,9858.0
  朝阳市,25879.0,8864.0,17298.0
  葫芦岛市,2394.0,3675.0,7257.0
吉林省,,,
  长春市,15464.0,16566.0,26811.0
  吉林市,,,
  四平市,3738.0,2793.0,8694.0
  辽源市,6578.0,3065.0,7960.0
  通化市,,,
  白山市,,,
  松原市,83981.0,3157.0,6457.0
  白城市,,,
黑龙江省,,,
  哈尔滨市,6162.0,9500.0,21970.0
  齐齐哈尔市,16134.0,20024.0,13257.0
  鸡西市,2759.0,14960.0,6341.0
  鹤岗市,33112.0,2937.0,4361.0
  双鸭山市,19869.0,4078.0,8552.0
  大庆市,5809.0,7524.0,18042.0
  伊春市,,3383.0,3928.0
  佳木斯市,7959.0,3569.0,5342.0
  七台河市,4774.0,5368.0,8065.0
  牡丹江市,6539.0,5322.0,4843.0
  黑河市,4198.0,5168.0,3761.0
  绥化市,2295.0,3675.0,5012.0
