城市,City,细颗粒物年平均浓度（微克/立方米）,污水处理厂集中处理率(%),生活垃圾无害化处理率(%)
北京市,Beijing,38.0,,100.0
天津市,Tianjin,48.0,,100.0
河北省,Hebei,,,
  石家庄市,  Shijiazhuang,58.0,99.3,100.0
  唐山市,  Tangshan,49.0,99.0,100.0
  秦皇岛市,  Qinhuangdao,34.0,97.0,100.0
  邯郸市,  Handan,57.0,98.47,100.0
  邢台市,  Xingtai,53.0,98.17,100.0
  保定市,  Baoding,50.0,96.62,100.0
  张家口市,  Zhangjiakou,23.0,97.31,100.0
  承德市,  Chengde,27.0,97.8,99.98
  沧州市,  Cangzhou,47.0,99.92,100.0
  廊坊市,  Langfang,42.0,98.09,100.0
  衡水市,  Hengshui,52.0,99.61,100.0
山西省,Shanxi,,,
  太原市,  Taiyuan,54.0,,
  大同市,  Datong,31.0,85.44,100.0
  阳泉市,  Yangquan,46.0,95.0,100.0
  长治市,  Changzhi,,95.65,100.0
  晋城市,  Jincheng,46.0,99.8,100.0
  朔州市,  Shuozhou,37.0,97.11,100.0
  晋中市,  Jinzhong,42.0,96.9,99.84
  运城市,  Yuncheng,57.0,95.07,100.0
  忻州市,  Xinzhou,44.0,95.51,100.0
  临汾市,  Linfen,52.0,98.8,100.0
  吕梁市,  Lvliang,33.0,97.04,100.0
内蒙古自治区,Inner Mongolia,,,
  呼和浩特市,  Hohhot,,98.56,100.0
  包头市,  Baotou,44.0,96.29,100.0
  乌海市,  Wuhai,32.0,98.4,100.0
  赤峰市,  Chifeng,,95.61,100.0
  通辽市,  Tongliao,34.0,98.25,100.0
  鄂尔多斯市,  Erdos,24.0,98.46,99.91
  呼伦贝尔市,  Hulunbuir,18.0,97.47,99.52
  巴彦淖尔市,  Bayannur,33.0,98.9,99.74
  乌兰察布市,  Ulanqab,,96.84,98.13
辽宁省,Liaoning,,,
  沈阳市,  Shenyang,42.0,98.94,100.0
  大连市,  Dalian,30.0,98.5,100.0
  鞍山市,  Anshan,44.0,96.48,100.0
  抚顺市,  Fushun,43.0,89.77,100.0
  本溪市,  Benxi,35.0,96.81,100.0
  丹东市,  Dandong,29.0,86.87,84.81
  锦州市,  Jinzhou,47.0,97.18,100.0
  营口市,  Yingkou,,96.54,100.0
  阜新市,  Fuxin,36.0,100.0,100.0
  辽阳市,  Liaoyang,41.0,98.26,100.0
  盘锦市,  Panjin,35.0,98.55,100.0
  铁岭市,  Tieling,39.0,99.45,100.0
  朝阳市,  Chaoyang,35.0,99.35,100.0
  葫芦岛市,  Huludao,42.0,96.0,100.0
吉林省,Jilin,,,
  长春市,  Changchun,,96.0,100.0
  吉林市,  Jilin,,,
  四平市,  Siping,33.0,95.88,95.6
  辽源市,  Liaoyuan,39.0,96.23,100.0
  通化市,  Tonghua,,,
  白山市,  Baishan,,,
  松原市,  Songyuan,,100.0,100.0
  白城市,  Baicheng,,95.99,100.0
黑龙江省,Heilongjiang,,,
  哈尔滨市,  Harbin,47.0,95.0,100.0
  齐齐哈尔市,  Qiqihar,31.0,90.35,95.9
  鸡西市,  Jixi,28.0,,
  鹤岗市,  Hegang,,96.15,99.53
  双鸭山市,  Shuangyashan,26.0,96.01,100.0
  大庆市,  Daqing,28.0,96.15,100.0
  伊春市,  Yichun,,99.5,95.1
  佳木斯市,  Jiamusi,28.0,88.5,95.0
  七台河市,  Qitaihe,33.0,95.29,100.0
  牡丹江市,  Mudanjiang,31.0,95.0,100.0
  黑河市,  Heihe,16.0,95.26,100.0
  绥化市,  Suihua,41.0,,98.5
上海市,Shanghai,32.0,,100.0
江苏省,Jiangsu,,,
  南京市,  Nanjing,31.0,,100.0
  无锡市,  Wuxi,33.0,97.7,100.0
  徐州市,  Xuzhou,50.0,93.2,100.0
  常州市,  Changzhou,39.0,90.94,100.0
  苏州市,  Suzhou,31.0,92.51,100.0
  南通市,  Nantong,34.0,95.0,100.0
  连云港市,  Lianyungang,37.0,94.48,100.0
  淮安市,  Huai'an,42.0,89.03,100.0
  盐城市,  Yancheng,33.0,91.81,100.0
  扬州市,  Yangzhou,36.0,91.45,100.0
  镇江市,  Zhenjiang,38.0,92.22,100.0
  泰州市,  Taizhou,35.0,93.02,100.0
  宿迁市,  Suqian,45.0,96.12,100.0
浙江省,Zhejiang,,,
  杭州市,  Hangzhou,30.0,97.06,100.0
  宁波市,  Ningbo,23.0,94.76,100.0
  温州市,  Wenzhou,23.0,97.41,100.0
  嘉兴市,  Jiaxing,28.0,97.79,100.0
  湖州市,  Huzhou,26.0,98.29,100.0
  绍兴市,  Shaoxing,28.0,97.65,100.0
  金华市,  Jinhua,26.0,97.12,100.0
  衢州市,  Quzhou,26.0,97.3,100.0
  舟山市,  Zhoushan,17.0,94.31,100.0
  台州市,  Taizhou,25.0,96.66,100.0
  丽水市,  Lishui,20.0,97.05,100.0
安徽省,Anhui,,,
  合肥市,  Hefei,36.0,95.39,100.0
  芜湖市,  Wuhu,35.0,95.13,100.0
  蚌埠市,  Bengbu,43.0,95.24,100.0
  淮南市,  Huainan,48.0,95.7,100.0
  马鞍山市,  Maanshan,36.0,95.04,100.0
  淮北市,  Huaibei,48.0,96.87,100.0
  铜陵市,  Tongling,35.0,95.77,100.0
  安庆市,  Anqing,36.0,96.12,100.0
  黄山市,  Huangshan,20.0,95.55,100.0
  滁州市,  Chuzhou,39.0,97.2,100.0
  阜阳市,  Fuyang,49.0,96.4,100.0
  宿州市,  Suzhou,46.0,96.23,100.0
  六安市,  Lu'an,37.0,95.42,100.0
  亳州市,  Bozhou,47.0,96.67,100.0
  池州市,  Chizhou,34.0,96.4,100.0
  宣城市,  Xuancheng,33.0,95.4,100.0
福建省,Fujian,,,
